date_,Geography,Variable,Value
2017-01-01,National,Goods Producing,19373000
2017-01-01,National,Government,22171000
2017-01-01,National,Service-Providing,124003000
2017-01-01,National,Total Private,121205000
2016-12-01,National,Goods Producing,19700000
2016-12-01,National,Government,22639000
2016-12-01,National,Service-Providing,126552000
2016-12-01,National,Total Private,123613000
2016-11-01,National,Goods Producing,19893000
2016-11-01,National,Government,22780000
2016-11-01,National,Service-Providing,126572000
2016-11-01,National,Total Private,123685000
2016-10-01,National,Goods Producing,19992000
2016-10-01,National,Government,22658000
2016-10-01,National,Service-Providing,126040000
2016-10-01,National,Total Private,123374000
2016-09-01,National,Goods Producing,20007000
2016-09-01,National,Government,22239000
2016-09-01,National,Service-Providing,125143000
2016-09-01,National,Total Private,122911000
2016-08-01,National,Goods Producing,20093000
2016-08-01,National,Government,21203000
2016-08-01,National,Service-Providing,124392000
2016-08-01,National,Total Private,123282000
2016-07-01,National,Goods Producing,20095000
2016-07-01,National,Government,21000000
2016-07-01,National,Service-Providing,124137000
2016-07-01,National,Total Private,123232000
2016-06-01,National,Goods Producing,20015000
2016-06-01,National,Government,22106000
2016-06-01,National,Service-Providing,125190000
2016-06-01,National,Total Private,123099000
2016-05-01,National,Goods Producing,19736000
2016-05-01,National,Government,22540000
2016-05-01,National,Service-Providing,124804000
2016-05-01,National,Total Private,122000000
2016-04-01,National,Goods Producing,19581000
2016-04-01,National,Government,22579000
2016-04-01,National,Service-Providing,124312000
2016-04-01,National,Total Private,121314000
2016-03-01,National,Goods Producing,19370000
2016-03-01,National,Government,22552000
2016-03-01,National,Service-Providing,123427000
2016-03-01,National,Total Private,120245000
2016-02-01,National,Goods Producing,19243000
2016-02-01,National,Government,22413000
2016-02-01,National,Service-Providing,122658000
2016-02-01,National,Total Private,119488000
2016-01-01,National,Goods Producing,19266000
2016-01-01,National,Government,21980000
2016-01-01,National,Service-Providing,121806000
2016-01-01,National,Total Private,119092000
2015-12-01,National,Goods Producing,19658000
2015-12-01,National,Government,22460000
2015-12-01,National,Service-Providing,124387000
2015-12-01,National,Total Private,121585000
2015-11-01,National,Goods Producing,19801000
2015-11-01,National,Government,22557000
2015-11-01,National,Service-Providing,124248000
2015-11-01,National,Total Private,121492000
2015-10-01,National,Goods Producing,19893000
2015-10-01,National,Government,22446000
